"ANO","NIVEL","CODMUNRES","IDHM_A","IDHM_CA","IDHM_CA_M","IDHM_CA_F"
"2015","UF",35,"0,823","0,783","0,759","0,807"
"2015","MUNICIPIO",3500105,"0,79",NA,NA,NA
"2015","MUNICIPIO",3500204,"0,73",NA,NA,NA
"2015","MUNICIPIO",3500303,"0,715",NA,NA,NA
"2015","MUNICIPIO",3500402,"0,781",NA,NA,NA
"2015","MUNICIPIO",3500501,"0,745",NA,NA,NA
"2015","MUNICIPIO",3500550,"0,757",NA,NA,NA
"2015","MUNICIPIO",3500600,"0,854",NA,NA,NA
"2015","MUNICIPIO",3500709,"0,745",NA,NA,NA
"2015","MUNICIPIO",3500758,"0,712",NA,NA,NA
"2015","MUNICIPIO",3500808,"0,741",NA,NA,NA
"2015","MUNICIPIO",3500907,"0,687",NA,NA,NA
"2015","MUNICIPIO",3501004,"0,73",NA,NA,NA
"2015","MUNICIPIO",3501103,"0,542",NA,NA,NA
"2015","MUNICIPIO",3501103,"0,747",NA,NA,NA
"2015","MUNICIPIO",3501103,"0,7",NA,NA,NA
"2015","MUNICIPIO",3501152,"0,766",NA,NA,NA
"2015","MUNICIPIO",3501202,"0,728",NA,NA,NA
"2015","MUNICIPIO",3501301,"0,758",NA,NA,NA
"2015","MUNICIPIO",3501400,"0,688",NA,NA,NA
"2015","MUNICIPIO",3501509,"0,722",NA,NA,NA
"2015","MUNICIPIO",3501608,"0,811",NA,NA,NA
"2015","MUNICIPIO",3501707,"0,751",NA,NA,NA
"2015","MUNICIPIO",3501806,"0,745",NA,NA,NA
"2015","MUNICIPIO",3501905,"0,606",NA,NA,NA
"2015","MUNICIPIO",3501905,"0,785",NA,NA,NA
"2015","MUNICIPIO",3502002,"0,754",NA,NA,NA
"2015","MUNICIPIO",3502101,"0,779",NA,NA,NA
"2015","MUNICIPIO",3502200,"0,719",NA,NA,NA
"2015","MUNICIPIO",3502309,"0,721",NA,NA,NA
"2015","MUNICIPIO",3502408,"0,741",NA,NA,NA
"2015","MUNICIPIO",3502507,"0,578",NA,NA,NA
"2015","MUNICIPIO",3502507,"0,755",NA,NA,NA
