"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
"2015","UF",35,"44396484",41262199,20077873,21184326,8860918,23205750,9195531,4354273,11777852,5052201
"2015","MUNICIPIO",3500105,"35048",33797,16374,17423,5823,17785,10189,2798,9070,5555
"2015","MUNICIPIO",3500204,"3623",3557,1787,1770,680,1840,1037,309,931,530
"2015","MUNICIPIO",3500303,"34863",32148,16217,15931,7261,17717,7170,3554,8615,3762
"2015","MUNICIPIO",3500402,"8025",7584,3747,3837,1371,3840,2373,676,1919,1242
"2015","MUNICIPIO",3500501,"18313",17266,8457,8809,3421,9254,4591,1638,4714,2457
"2015","MUNICIPIO",3500550,"5944",5601,2779,2822,1264,2853,1484,626,1449,747
"2015","MUNICIPIO",3500600,"3139",2707,1262,1445,432,1280,995,213,665,567
"2015","MUNICIPIO",3500709,"36524",34524,17076,17448,7776,19148,7600,3812,9613,4023
"2015","MUNICIPIO",3500758,"5560",4884,2456,2428,1233,2573,1078,631,1272,525
"2015","MUNICIPIO",3500808,"4101",3891,1981,1910,674,1955,1262,308,946,656
"2015","MUNICIPIO",3500907,"4060",3815,2051,1764,892,2190,733,410,994,360
"2015","MUNICIPIO",3501004,"16179",15607,7808,7799,3245,8275,4087,1573,4148,2078
"2015","MUNICIPIO",3501103,"4173",4102,2109,1993,715,2062,1325,356,982,655
"2015","MUNICIPIO",3501152,"18061",16839,8500,8339,4209,9640,2990,2082,4722,1535
"2015","MUNICIPIO",3501202,"3853",3897,1999,1898,621,1915,1361,300,955,643
"2015","MUNICIPIO",3501301,"24651",23513,11640,11873,5125,12664,5724,2540,6291,3042
"2015","MUNICIPIO",3501400,"5030",4650,2959,1691,828,2978,844,436,841,414
"2015","MUNICIPIO",3501509,"3168",3000,1482,1518,729,1569,702,374,769,375
"2015","MUNICIPIO",3501608,"229322",210638,103174,107464,38770,119516,52352,19051,60078,28335
"2015","MUNICIPIO",3501707,"38202",34478,17333,17145,8197,20512,5769,4073,10100,2972
"2015","MUNICIPIO",3501806,"5942",5706,2862,2844,1095,2879,1732,531,1451,862
"2015","MUNICIPIO",3501905,"70280",65829,32442,33387,12296,36430,17103,6083,18084,9220
"2015","MUNICIPIO",3502002,"4731",4293,2203,2090,950,2274,1069,477,1082,531
"2015","MUNICIPIO",3502101,"57250",55334,27190,28144,10512,29920,14902,5228,14795,8121
"2015","MUNICIPIO",3502200,"24161",22210,11245,10965,5161,11998,5051,2526,5940,2499
"2015","MUNICIPIO",3502309,"6307",5653,2909,2744,1448,2951,1254,703,1432,609
"2015","MUNICIPIO",3502408,"3999",3738,1863,1875,828,1997,913,409,990,476
"2015","MUNICIPIO",3502507,"36217",35007,16898,18109,7229,19503,8275,3522,9967,4620
"2015","MUNICIPIO",3502606,"4397",4450,2177,2273,822,2182,1446,424,1102,747
"2015","MUNICIPIO",3502705,"25211",25191,12577,12614,6744,13212,5235,3298,6715,2601
"2015","MUNICIPIO",3502754,"20114",17080,8697,8383,4674,9620,2786,2267,4763,1353
"2015","MUNICIPIO",3502804,"192757",181579,87329,94250,33857,100018,47704,16600,51184,26466
"2015","MUNICIPIO",3502903,"31321",27299,13607,13692,6163,14543,6593,3079,7281,3332
"2015","MUNICIPIO",3503000,"5486",5152,2589,2563,1010,2815,1327,490,1426,647
"2015","MUNICIPIO",3503109,"6351",6123,3088,3035,1419,3281,1423,707,1601,727
"2015","MUNICIPIO",3503158,"2524",2493,1255,1238,576,1308,609,271,670,297
"2015","MUNICIPIO",3503208,"226508",208662,100655,108007,38250,116774,53638,18782,59295,29930
"2015","MUNICIPIO",3503307,"128895",118843,58688,60155,23383,67088,28372,11422,33479,15254
"2015","MUNICIPIO",3503356,"1890",1925,971,954,356,988,581,175,496,283
"2015","MUNICIPIO",3503406,"8351",7841,3997,3844,1532,3879,2430,742,1921,1181
"2015","MUNICIPIO",3503505,"3859",3696,1831,1865,947,1930,819,498,949,418
"2015","MUNICIPIO",3503604,"11049",10579,5453,5126,2675,6098,1806,1310,2911,905
"2015","MUNICIPIO",3503703,"9277",8547,4366,4181,1775,4715,2057,840,2276,1065
"2015","MUNICIPIO",3503802,"50246",44177,22075,22102,10145,25457,8575,5027,12647,4428
"2015","MUNICIPIO",3503901,"83939",74905,36939,37966,18629,42453,13823,9156,21562,7248
"2015","MUNICIPIO",3503950,"1848",1809,907,902,326,945,538,159,472,271
"2015","MUNICIPIO",3504008,"101597",95144,46317,48827,18189,52283,24672,8882,26288,13657
"2015","MUNICIPIO",3504107,"137187",126603,62211,64392,27457,69452,29694,13300,35042,16050
"2015","MUNICIPIO",3504206,"14961",14202,7102,7100,2581,7814,3807,1251,3887,1962
"2015","MUNICIPIO",3504305,"5275",4959,2506,2453,1166,2658,1135,543,1334,576
"2015","MUNICIPIO",3504404,"12719",11310,6249,5061,2481,6723,2106,1223,2735,1103
"2015","MUNICIPIO",3504503,"88385",82934,41136,41798,17629,45626,19679,8662,22396,10740
"2015","MUNICIPIO",3504602,"16359",14603,7249,7354,3014,8237,3352,1483,4118,1753
"2015","MUNICIPIO",3504701,"4819",3702,3002,700,274,2957,471,136,357,207
"2015","MUNICIPIO",3504800,"8773",8160,3998,4162,1442,4391,2327,721,2199,1242
"2015","MUNICIPIO",3504909,"10775",10223,5051,5172,2353,5324,2546,1148,2657,1367
"2015","MUNICIPIO",3505005,"3353",3116,1591,1525,759,1512,845,368,758,399
"2015","MUNICIPIO",3505104,"7128",6593,3323,3270,1589,3467,1537,789,1685,796
"2015","MUNICIPIO",3505203,"34048",31593,15816,15777,6688,16520,8385,3235,8022,4520
"2015","MUNICIPIO",3505302,"36321",35246,17252,17994,6342,19848,9056,3142,9957,4895
"2015","MUNICIPIO",3505351,"5585",5244,2770,2474,1460,2685,1099,710,1256,508
"2015","MUNICIPIO",3505401,"7828",7729,4050,3679,2250,3623,1856,1062,1792,825
"2015","MUNICIPIO",3505500,"119243",112101,54169,57932,22060,61951,28090,10709,31530,15693
"2015","MUNICIPIO",3505609,"31230",28496,14321,14175,7256,16778,4462,3599,8273,2303
"2015","MUNICIPIO",3505708,"262275",240749,117051,123698,58603,142561,39585,28896,73654,21148
"2015","MUNICIPIO",3505807,"21067",20445,10032,10413,4463,11126,4856,2248,5535,2630
"2015","MUNICIPIO",3505906,"60589",56476,27744,28732,11418,30620,14438,5599,15361,7772
"2015","MUNICIPIO",3506003,"366992",343937,166649,177288,69144,191079,83714,33891,96434,46963
"2015","MUNICIPIO",3506102,"77627",75035,36529,38506,15135,40804,19096,7431,20675,10400
"2015","MUNICIPIO",3506201,"2879",2674,1364,1310,589,1483,602,292,694,324
"2015","MUNICIPIO",3506300,"11157",10775,5250,5525,2207,5488,3080,1130,2707,1688
"2015","MUNICIPIO",3506359,"56555",47645,23829,23816,12953,26966,7726,6385,13578,3853
"2015","MUNICIPIO",3506409,"7682",7048,3491,3557,1236,3804,2008,594,1873,1090
"2015","MUNICIPIO",3506508,"118352",108728,53075,55653,21084,61734,25910,10329,31426,13898
"2015","MUNICIPIO",3506607,"31158",28575,14413,14162,7243,15423,5909,3546,7689,2927
"2015","MUNICIPIO",3506706,"14546",13645,6875,6770,3317,7546,2782,1623,3729,1418
"2015","MUNICIPIO",3506805,"11810",10859,5409,5450,2335,6033,2491,1163,2962,1325
"2015","MUNICIPIO",3506904,"10879",9618,4906,4712,2323,4774,2521,1150,2342,1220
"2015","MUNICIPIO",3507001,"55725",48314,24313,24001,10856,27936,9522,5348,13720,4933
"2015","MUNICIPIO",3507100,"23025",19708,9922,9786,4746,11088,3874,2292,5520,1974
"2015","MUNICIPIO",3507159,"3831",3571,1816,1755,1082,1921,568,543,951,261
"2015","MUNICIPIO",3507209,"836",805,422,383,158,469,178,74,222,87
"2015","MUNICIPIO",3507308,"4631",4268,2178,2090,975,2304,989,473,1114,503
"2015","MUNICIPIO",3507407,"15569",14529,7350,7179,2876,7838,3815,1379,3861,1939
"2015","MUNICIPIO",3507456,"2519",2293,1143,1150,572,1239,482,279,623,248
"2015","MUNICIPIO",3507506,"139483",127328,61761,65567,26640,69448,31240,13057,35257,17253
"2015","MUNICIPIO",3507605,"160665",146744,72081,74663,30278,81571,34895,14774,41053,18836
"2015","MUNICIPIO",3507704,"5454",5021,2552,2469,1008,2637,1376,528,1252,689
"2015","MUNICIPIO",3507753,"2768",2573,1330,1243,565,1402,606,262,685,296
"2015","MUNICIPIO",3507803,"23460",21107,10465,10642,4647,11595,4865,2300,5763,2579
"2015","MUNICIPIO",3507902,"23419",21580,10711,10869,4786,11728,5066,2410,5811,2648
"2015","MUNICIPIO",3508009,"19570",18563,9501,9062,5246,9703,3614,2527,4787,1748
"2015","MUNICIPIO",3508108,"16583",15418,7732,7686,3024,8364,4030,1463,4178,2045
"2015","MUNICIPIO",3508207,"4345",4053,2073,1980,797,2176,1080,383,1059,538
"2015","MUNICIPIO",3508306,"4390",4365,2220,2145,1034,2351,980,486,1153,506
"2015","MUNICIPIO",3508405,"46528",41604,21080,20524,10717,24025,6862,5184,11833,3507
"2015","MUNICIPIO",3508504,"91162",84752,41996,42756,18557,47274,18921,8966,23747,10043
"2015","MUNICIPIO",3508603,"32294",30091,14749,15342,6529,16321,7241,3233,8214,3895
"2015","MUNICIPIO",3508702,"18976",18538,9285,9253,4410,9383,4745,2203,4694,2356
"2015","MUNICIPIO",3508801,"17499",16607,8174,8433,3401,8805,4401,1660,4421,2352
"2015","MUNICIPIO",3508900,"4206",4072,2091,1981,820,2187,1065,394,1059,528
"2015","MUNICIPIO",3509007,"95780",86529,42298,44231,20779,50317,15433,10199,25741,8291
"2015","MUNICIPIO",3509106,"5560",5039,2652,2387,1092,2678,1269,532,1242,613
"2015","MUNICIPIO",3509205,"71805",64114,31997,32117,16140,38103,9871,7878,19131,5108
"2015","MUNICIPIO",3509254,"28962",28372,14328,14044,7985,14892,5495,3902,7463,2679
"2015","MUNICIPIO",3509304,"10341",9768,5025,4743,1895,5425,2448,907,2577,1259
"2015","MUNICIPIO",3509403,"25230",23371,11699,11672,5406,12690,5275,2620,6295,2757
"2015","MUNICIPIO",3509452,"5901",5567,2853,2714,1366,2923,1278,644,1453,617
"2015","MUNICIPIO",3509502,"1164098",1080113,520865,559248,208236,616117,255760,102234,314658,142356
"2015","MUNICIPIO",3509601,"80847",74074,36392,37682,17115,42175,14784,8417,21379,7886
"2015","MUNICIPIO",3509700,"50852",47789,23393,24396,11523,27214,9052,5755,13806,4835
"2015","MUNICIPIO",3509809,"4839",4539,2339,2200,1103,2318,1118,514,1123,563
"2015","MUNICIPIO",3509908,"12604",12226,6134,6092,3225,6164,2837,1587,3060,1445
"2015","MUNICIPIO",3509957,"4852",4385,2223,2162,1183,2399,803,579,1176,407
"2015","MUNICIPIO",3510005,"31131",29884,14658,15226,6185,16046,7653,3067,8084,4075
"2015","MUNICIPIO",3510104,"2780",2668,1315,1353,440,1392,836,229,706,418
"2015","MUNICIPIO",3510153,"4884",4369,2216,2153,1276,2321,772,622,1139,392
"2015","MUNICIPIO",3510203,"47486",46178,23021,23157,11739,24615,9824,5671,12379,5107
"2015","MUNICIPIO",3510302,"19482",17532,9038,8494,4386,9675,3471,2244,4562,1688
"2015","MUNICIPIO",3510401,"53152",48576,24353,24223,11051,27494,10031,5420,13522,5281
"2015","MUNICIPIO",3510500,"113317",100840,49959,50881,23954,55018,21868,11893,27570,11418
"2015","MUNICIPIO",3510609,"392294",369584,179284,190300,89743,214196,65645,44388,109798,36114
"2015","MUNICIPIO",3510708,"12281",11805,5830,5975,2321,5985,3499,1143,2998,1834
"2015","MUNICIPIO",3510807,"29877",28307,14997,13310,5596,15581,7130,2747,6994,3569
"2015","MUNICIPIO",3510906,"2623",2634,1347,1287,557,1356,721,260,677,350
"2015","MUNICIPIO",3511003,"19873",18003,8975,9028,4029,9670,4304,1980,4863,2185
"2015","MUNICIPIO",3511102,"119480",112820,54776,58044,20480,61867,30473,10012,31225,16807
"2015","MUNICIPIO",3511201,"7603",7127,3632,3495,1439,4028,1660,737,1934,824
"2015","MUNICIPIO",3511300,"8767",7972,3977,3995,1486,4181,2305,716,2090,1189
"2015","MUNICIPIO",3511409,"19109",17532,8673,8859,4042,9313,4177,2028,4631,2200
"2015","MUNICIPIO",3511508,"45142",39617,19635,19982,8227,22506,8884,4056,11205,4721
"2015","MUNICIPIO",3511607,"17163",15540,8063,7477,3402,8783,3355,1690,4131,1656
"2015","MUNICIPIO",3511706,"16440",15085,7686,7399,3380,8473,3232,1653,4105,1641
"2015","MUNICIPIO",3511904,"7992",7065,3661,3404,1564,4089,1412,803,1872,729
"2015","MUNICIPIO",3512001,"18245",17371,8626,8745,3605,9599,4167,1748,4771,2226
"2015","MUNICIPIO",3512100,"6211",5994,3066,2928,1331,3397,1266,647,1642,639
"2015","MUNICIPIO",3512209,"27132",25229,12757,12472,6043,14273,4913,3008,6921,2543
"2015","MUNICIPIO",3512308,"17406",16288,8191,8097,3688,8362,4238,1735,4177,2185
"2015","MUNICIPIO",3512407,"23234",21080,10600,10480,4593,11926,4561,2232,5844,2404
"2015","MUNICIPIO",3512506,"5753",5238,2610,2628,1089,2876,1273,538,1450,640
"2015","MUNICIPIO",3512605,"4922",5001,2565,2436,1204,2535,1262,570,1239,627
"2015","MUNICIPIO",3512704,"4036",3874,1974,1900,888,2076,910,452,1006,442
"2015","MUNICIPIO",3512803,"66807",58827,29410,29417,13557,34197,11073,6667,16936,5814
"2015","MUNICIPIO",3512902,"7388",7214,3652,3562,1277,3611,2326,629,1780,1153
"2015","MUNICIPIO",3513009,"229548",201150,98455,102695,49360,115808,35982,24372,59265,19058
"2015","MUNICIPIO",3513108,"34110",31691,15889,15802,7036,17704,6951,3451,8660,3691
"2015","MUNICIPIO",3513207,"8260",7588,3874,3714,1704,4154,1730,857,2022,835
"2015","MUNICIPIO",3513306,"2209",2274,1110,1164,425,1228,621,215,612,337
"2015","MUNICIPIO",3513405,"81082",77039,37505,39534,16670,41966,18403,8184,21248,10102
"2015","MUNICIPIO",3513504,"127006",118720,59229,59491,28652,69290,20778,14006,34520,10965
"2015","MUNICIPIO",3513603,"22086",21866,11164,10702,4905,11612,5349,2400,5686,2616
"2015","MUNICIPIO",3513702,"32980",31056,15329,15727,6052,17118,7886,2967,8551,4209
"2015","MUNICIPIO",3513801,"412428",386089,186803,199286,90789,228584,66716,44980,117505,36801
"2015","MUNICIPIO",3513850,"1772",1689,875,814,293,875,521,130,429,255
"2015","MUNICIPIO",3513900,"11492",11208,5587,5621,1995,6030,3183,1013,3007,1601
"2015","MUNICIPIO",3514007,"8592",7939,4116,3823,1991,4588,1360,948,2166,709
"2015","MUNICIPIO",3514106,"26517",24761,12417,12344,5508,13427,5826,2720,6549,3075
"2015","MUNICIPIO",3514205,"2142",2096,1091,1005,381,1055,660,168,513,324
"2015","MUNICIPIO",3514304,"8897",8609,4364,4245,1611,4604,2394,760,2224,1261
"2015","MUNICIPIO",3514403,"45847",43258,21405,21853,7493,23222,12543,3703,11316,6834
"2015","MUNICIPIO",3514502,"12567",12251,5970,6281,2320,6404,3527,1132,3260,1889
"2015","MUNICIPIO",3514601,"9178",8143,4096,4047,1800,4679,1664,910,2296,841
"2015","MUNICIPIO",3514700,"6316",6318,3115,3203,1378,3283,1657,683,1655,865
"2015","MUNICIPIO",3514809,"15339",14641,7478,7163,4360,7199,3082,2122,3562,1479
"2015","MUNICIPIO",3514908,"17085",15775,8168,7607,3705,8943,3127,1805,4200,1602
"2015","MUNICIPIO",3514924,"3451",3120,1650,1470,584,1742,794,279,802,389
"2015","MUNICIPIO",3514957,"2481",2423,1259,1164,459,1328,636,220,642,302
"2015","MUNICIPIO",3515004,"261781",240230,116728,123502,61663,140494,38073,30283,72408,20811
"2015","MUNICIPIO",3515103,"67296",62769,31186,31583,16013,34587,12169,7852,17552,6179
"2015","MUNICIPIO",3515129,"3174",3020,1517,1503,570,1613,837,287,790,426
"2015","MUNICIPIO",3515152,"18611",15721,8233,7488,4001,9417,2303,1914,4421,1153
"2015","MUNICIPIO",3515186,"43897",41907,20507,21400,8196,22765,10946,4075,11443,5882
"2015","MUNICIPIO",3515194,"4621",4244,2145,2099,1079,2351,814,527,1156,416
"2015","MUNICIPIO",3515202,"8462",8208,4133,4075,1511,4411,2286,749,2168,1158
"2015","MUNICIPIO",3515301,"2761",2658,1370,1288,601,1480,577,277,714,297
"2015","MUNICIPIO",3515350,"9642",9585,4832,4753,2443,5140,2002,1182,2595,976
"2015","MUNICIPIO",3515400,"15960",15320,7426,7894,3292,8006,4022,1728,4064,2102
"2015","MUNICIPIO",3515509,"68120",64696,31518,33178,11625,34663,18408,5720,17562,9896
"2015","MUNICIPIO",3515608,"5760",5534,2726,2808,978,2845,1711,477,1459,872
"2015","MUNICIPIO",3515657,"1669",1563,794,769,335,797,431,181,390,198
"2015","MUNICIPIO",3515707,"184700",168306,82143,86163,43822,97327,27157,21578,49856,14729
"2015","MUNICIPIO",3515806,"1634",1752,880,872,322,875,555,148,438,286
"2015","MUNICIPIO",3515905,"3011",3003,1496,1507,440,1509,1054,199,747,561
"2015","MUNICIPIO",3516002,"14000",12848,7055,5793,2494,7323,3031,1221,3026,1546
"2015","MUNICIPIO",3516101,"2799",2829,1383,1446,590,1454,785,296,735,415
"2015","MUNICIPIO",3516200,"342112",318640,155464,163176,70543,177409,70688,34665,89976,38535
"2015","MUNICIPIO",3516309,"168243",154472,76636,77836,43295,87254,23923,21303,44110,12423
"2015","MUNICIPIO",3516408,"145755",131604,67462,64142,31585,77511,22508,15417,36925,11800
"2015","MUNICIPIO",3516507,"2790",2708,1375,1333,458,1432,818,214,705,414
