"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
"2015","UF",35,287645,0,0,23450,264195,11082,54076,85071,39330,74636,156973,130606,13050,0,4804,3495,1309,2045,125,3324,104,16,1089,3,573,125,36,8,245,159,414,349,7,42,103,127,16,42
"2015","MUNICIPIO",350000,697,0,0,384,313,24,11,69,55,154,605,72,18,0,2,1,1,0,1,1,0,0,1,0,2,1,0,0,1,0,2,1,0,0,0,0,0,0
"2015","MUNICIPIO",350010,307,0,0,17,290,15,54,76,43,102,162,145,6,0,3,1,2,1,1,3,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0
"2015","MUNICIPIO",350020,43,0,0,5,38,0,6,11,7,14,28,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350030,298,0,0,24,274,11,37,71,44,111,171,127,12,0,2,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350040,66,0,0,2,64,2,9,18,10,25,34,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350050,156,0,0,6,150,6,30,50,16,48,84,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350055,41,0,0,4,37,3,2,9,2,21,22,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350060,31,0,0,2,29,0,6,8,4,11,20,11,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350070,264,0,0,18,246,6,46,72,34,88,141,123,13,0,5,5,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350075,34,0,0,1,33,0,5,11,7,10,15,19,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350080,34,0,0,2,32,0,5,8,5,14,21,13,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350090,23,0,0,5,18,1,3,6,3,5,14,9,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350100,117,0,0,15,102,3,27,38,16,18,76,41,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350110,32,0,0,5,27,1,3,7,5,11,20,12,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350115,89,0,0,10,79,3,17,20,13,26,51,38,7,0,2,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350120,25,0,0,2,23,2,6,7,4,4,16,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350130,154,0,0,15,139,2,26,47,16,48,88,66,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350140,31,0,0,2,29,1,4,10,6,8,17,14,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350150,14,0,0,0,14,0,3,3,2,6,6,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350160,1382,0,0,82,1300,47,255,283,186,529,771,611,44,0,22,15,7,9,0,20,1,0,0,0,2,0,0,0,1,1,1,1,0,0,0,0,0,0
"2015","MUNICIPIO",350170,190,0,0,24,166,6,25,67,17,51,122,68,7,0,3,2,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350180,43,0,0,5,38,1,1,15,8,13,23,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350190,537,0,0,48,489,21,91,133,86,158,283,254,26,0,5,4,1,0,0,4,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0
"2015","MUNICIPIO",350200,25,0,0,5,20,0,2,5,7,6,14,11,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350210,465,0,0,34,431,25,84,132,78,112,262,203,16,0,4,3,1,2,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350220,168,0,0,13,155,4,27,35,19,70,103,65,6,0,3,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350230,31,0,0,3,28,2,6,12,2,6,19,12,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350240,31,0,0,2,29,1,4,12,4,8,14,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350250,288,0,0,24,264,12,51,74,38,89,171,117,12,0,4,1,3,3,0,2,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
"2015","MUNICIPIO",350260,41,0,0,2,39,2,6,15,6,10,22,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2015","MUNICIPIO",350270,169,0,0,8,161,1,24,73,28,35,90,79,12,0,1,1,0,0,1,1,0,0,0,0,3,1,2,0,0,0,3,3,0,1,1,1,0,0
"2015","MUNICIPIO",350275,103,0,0,14,89,4,20,18,8,39,59,44,6,0,3,1,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
