"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","TGIF","IM_P25","IM_P50","IM_P75","IM_MD","IM_DP","EM_S","EM_FI","EM_FII","EM_M","EM_SI","EM_SC","TGRC_B","TGRC_PT","TGRC_A","TGRC_PD","TGRC_I","TGSC","TGCC","TGPRI","TGNPRI","TGU","TGG","TGD_22","TGD_22_27","TGD_28_31","TGD_32_36","TGD_37_41","TGD_42","TGD_PRT","TGD_AT","TGD_PST","DG_P25","DG_P50","DG_P75","DG_MD","DG_DP","TKC_NR","TKC_ID","TKC_IT","TKC_AD","TKC_MAD","TGPRG_S","TGPRG_N","TPV","TPC","TRAP_C","TRAP_P","TRAP_T","TGROB_1","TGROB_2","TGROB_3","TGROB_4","TGROB_5","TGROB_6","TGROB_7","TGROB_8","TGROB_9","TGROB_10","TNLOC_H","TNLOC_ES","TNLOC_D","TNLOC_O","TNLOC_AI","TRS_M","TRS_F","TRRC_B","TRRC_PT","TRRC_A","TRRC_PD","TRRC_I","TRP_BP","TRP_N","TRP_M","PESO_P25","PESO_P50","PESO_P75","PESO_MD","PESO_DP","TRPIG_P","TRPIG_A","TRPIG_G","TRAPG5_B","TRAPG5_N","APG5_MD","APG5_DP","TRAC","TRSAC"
"2015","UF",35,618304,0,566083,3164,57614,139323,150458,147142,92064,26453,2023,55,618241,22,27,32,27.2751788787248,6.62656010598883,906,13545,109097,344204,30508,111656,355092,32489,3576,214914,1101,255855,358621,259211,359093,618304,0,219,2580,5098,51273,545992,9627,59170,545992,9627,38,39,40,38.4703922646721,2.0260928952434,3646,93966,33760,37409,421943,148238,470066,255509,362523,585405,20255,1029,76997,143740,75580,83367,148935,9426,10829,0,1029,53686,612826,3132,1845,488,0,317330,300875,358293,32618,3582,216448,1109,47956,544171,26171,2900,3200,3500,3176.14846886129,532.319320479634,42168,514830,54361,5736,609537,9.47113720251011,0.830269020681763,6729,606737
"2015","MUNICIPIO",350000,7,0,2,0,1,0,0,3,0,1,0,0,5,29,31,33,30.2,7.98122797569397,0,0,2,1,0,2,2,1,0,2,0,4,1,3,4,7,0,0,0,0,1,4,0,1,4,0,37,38,38,36.8,2.77488738510232,1,0,0,1,1,7,0,4,3,4,1,0,1,0,1,0,1,0,1,0,0,1,4,0,0,2,0,6,1,2,1,0,2,0,3,3,0,1628.75,2535,2923.75,2355.83333333333,840.567764470341,2,3,0,1,3,8,1.4142135623731,0,5
"2015","MUNICIPIO",350010,356,0,319,1,30,70,101,93,48,11,2,0,356,23,27,32,27.2949438202247,6.32456220137714,0,7,63,166,12,105,278,2,1,65,0,79,277,151,205,356,0,0,1,3,43,286,22,47,286,22,38,38,40,38.3859154929577,2.29352415371756,0,27,3,15,308,41,315,67,289,332,14,1,51,75,26,24,112,7,7,0,1,43,354,2,0,0,0,181,175,278,2,1,65,0,28,313,15,2903.75,3197.5,3505,3161.81460674157,524.216087484533,25,293,26,3,351,9.22316384180791,0.850545661377633,7,347
"2015","MUNICIPIO",350020,52,0,45,0,5,13,11,15,5,3,0,0,52,22.5,27,31,27.1730769230769,6.56706325222109,0,2,10,32,2,6,39,0,1,12,0,19,31,22,30,52,0,0,0,0,3,46,1,3,46,1,37,38,39,38.22,1.63245151817249,0,9,1,2,39,52,0,8,44,49,0,0,7,11,3,5,18,0,0,0,0,3,52,0,0,0,0,24,28,39,0,1,12,0,5,47,0,3012.5,3285,3585,3250.51923076923,482.737800401679,2,39,9,0,52,9.76923076923077,0.546481961217982,0,52
"2015","MUNICIPIO",350030,407,0,374,0,50,104,126,77,41,8,1,0,407,21,25,30,25.7567567567568,6.04924758561071,0,33,137,186,7,40,305,29,0,66,0,177,222,163,244,407,0,0,1,6,44,343,13,51,343,13,38,39,40,38.4717444717445,2.2368527004499,0,97,29,30,234,403,4,152,255,389,13,1,52,84,63,49,92,6,7,0,1,49,402,1,0,4,0,205,202,306,29,0,66,0,28,363,16,2880,3190,3472.5,3149.23832923833,533.439125113754,33,337,37,3,398,9.62344139650873,0.69667002747502,2,403
"2015","MUNICIPIO",350040,77,0,72,1,8,14,20,21,6,6,1,0,77,23,28,32,27.8051948051948,6.98690308822036,1,2,28,35,0,11,70,2,1,2,0,25,50,30,47,77,0,0,0,1,14,61,1,15,61,1,37,39,40,38.0909090909091,2.34622775727234,0,28,3,4,42,77,0,28,49,76,1,0,16,10,7,6,22,0,1,0,0,15,77,0,0,0,0,35,42,70,2,1,2,0,8,69,0,2860,3190,3450,3112.4025974026,518.644241210228,6,62,8,0,76,9.64473684210526,0.582041175368686,0,77
"2015","MUNICIPIO",350050,217,0,201,1,22,49,50,44,38,13,0,0,217,22,27,33,27.4423963133641,6.92202936481736,0,8,55,120,8,26,164,9,3,38,0,69,144,107,110,217,0,0,0,1,20,187,5,21,187,5,38,39,40,38.5868544600939,1.75052982880853,2,37,10,9,154,36,181,98,119,215,1,0,72,24,33,10,51,0,1,0,0,21,217,0,0,0,0,128,89,164,9,3,38,0,15,196,6,2935,3155,3465,3185.04147465438,443.380378804618,19,177,17,2,215,9.84792626728111,0.52696531098618,0,214
"2015","MUNICIPIO",350055,86,0,72,1,9,17,19,21,14,3,2,0,86,22.25,27.5,32.75,27.6511627906977,7.02728705389877,0,2,14,46,6,15,66,3,0,12,0,27,53,32,54,86,0,0,0,0,5,80,1,5,80,1,38,39,39,38.6046511627907,1.4574681493236,1,10,4,7,56,86,0,35,51,83,1,0,15,12,17,11,23,1,0,0,0,5,86,0,0,0,0,49,37,66,3,0,12,0,6,80,0,2867.5,3105,3437.5,3132.26744186047,452.593608761991,7,73,6,2,82,9.39285714285714,0.918587930780103,0,84
"2015","MUNICIPIO",350060,26,0,26,0,1,4,5,6,5,5,0,0,26,25.5,31,36.5,30.6923076923077,7.18202885412879,0,0,2,11,2,11,22,0,0,4,0,9,17,12,14,26,0,0,0,1,1,24,0,2,24,0,38,39,40,38.6538461538462,2.18983666408813,0,1,1,2,22,26,0,10,16,24,2,0,3,7,0,5,7,1,1,0,0,2,26,0,0,0,0,13,13,22,0,0,4,0,4,20,2,2845,3017.5,3365,3059.26923076923,660.737682151839,3,21,2,0,26,9.61538461538461,0.697247334992287,1,25
"2015","MUNICIPIO",350070,476,0,371,2,54,133,112,105,53,17,0,0,476,21,26,31,26.2710084033613,6.47164502246309,0,13,110,253,24,65,299,10,0,75,1,159,283,197,279,476,0,0,6,7,40,421,2,53,421,2,38,39,39,38.2457983193277,2.41060883187047,5,97,23,24,323,204,272,151,325,454,22,0,76,98,45,45,141,9,13,0,0,49,476,0,0,0,0,229,247,299,10,0,75,1,33,425,18,2918.75,3240,3486.25,3177.36344537815,542.176747494859,28,403,44,9,467,9.38235294117647,1.11110354314588,5,470
