"ANO","NIVEL","CODMUNRES","POPR_RA","POPR_RE"
"2015","UF",35,42052644,38864409
"2015","MUNICIPIO",350010,34712,34353
"2015","MUNICIPIO",350020,3623,3623
"2015","MUNICIPIO",350030,NA,NA
"2015","MUNICIPIO",350040,7612,6991
"2015","MUNICIPIO",350050,18149,18049
"2015","MUNICIPIO",350055,4027,2899
"2015","MUNICIPIO",350060,2897,2715
"2015","MUNICIPIO",350070,35919,34783
"2015","MUNICIPIO",350075,4409,2664
"2015","MUNICIPIO",350080,3922,3627
"2015","MUNICIPIO",350090,3258,3180
"2015","MUNICIPIO",350100,14136,14136
"2015","MUNICIPIO",350110,3308,3166
"2015","MUNICIPIO",350115,11802,10701
"2015","MUNICIPIO",350120,3567,3567
"2015","MUNICIPIO",350130,24651,23816
"2015","MUNICIPIO",350140,3206,3179
"2015","MUNICIPIO",350150,2885,2817
"2015","MUNICIPIO",350160,229322,229322
"2015","MUNICIPIO",350170,37913,37913
"2015","MUNICIPIO",350180,4986,4976
"2015","MUNICIPIO",350190,55310,52544
"2015","MUNICIPIO",350200,NA,NA
"2015","MUNICIPIO",350210,54716,52368
"2015","MUNICIPIO",350220,19162,15458
"2015","MUNICIPIO",350230,4927,4645
"2015","MUNICIPIO",350240,3446,3350
"2015","MUNICIPIO",350250,36217,35130
"2015","MUNICIPIO",350260,3711,3571
"2015","MUNICIPIO",350270,19222,11879
"2015","MUNICIPIO",350275,11650,7812
"2015","MUNICIPIO",350280,189039,187149
"2015","MUNICIPIO",350290,30229,8595
"2015","MUNICIPIO",350300,NA,NA
"2015","MUNICIPIO",350310,3992,3905
"2015","MUNICIPIO",350315,1826,1762
"2015","MUNICIPIO",350320,219975,220114
"2015","MUNICIPIO",350330,128895,128895
"2015","MUNICIPIO",350335,1071,1050
"2015","MUNICIPIO",350340,5744,5126
"2015","MUNICIPIO",350350,NA,NA
"2015","MUNICIPIO",350360,10448,10422
"2015","MUNICIPIO",350370,NA,NA
"2015","MUNICIPIO",350380,45493,44129
"2015","MUNICIPIO",350390,83939,52927
"2015","MUNICIPIO",350395,1532,1535
"2015","MUNICIPIO",350400,98595,98280
"2015","MUNICIPIO",350410,113369,62359
"2015","MUNICIPIO",350420,14217,13799
"2015","MUNICIPIO",350430,3227,3145
"2015","MUNICIPIO",350440,10754,10754
"2015","MUNICIPIO",350450,85333,81720
"2015","MUNICIPIO",350460,15301,14688
"2015","MUNICIPIO",350470,4404,1304
